标签,名称,关系,标签A,名称A
type,演员,实例,item,黄山
type,艺人,实例,item,黄山
type,国画,实例,item,泰山
type,山水画,实例,item,泰山
type,地理,实例,item,武夷山
type,名人,实例,item,武夷山
type,宜兴,实例,item,大觉寺
type,江苏,实例,item,大觉寺
type,大觉寺,实例,item,大觉寺
type,云湖,实例,item,大觉寺
type,金华,实例,item,南山
type,景点,实例,item,南山
type,白水洋,实例,item,白水洋
type,屏南县,实例,item,白水洋
type,世界地质公园,实例,item,白水洋
type,太姥山,实例,item,白水洋
type,白云山,实例,item,白水洋
type,临海,实例,item,白水洋
type,旅游,实例,item,白水洋
type,景点,实例,item,白水洋
type,景区,实例,item,白水洋
type,旅游,实例,item,天龙源温泉度假村
type,酒店,实例,item,天龙源温泉度假村
type,地理,实例,item,雁荡山
type,旅游,实例,item,雁荡山
type,旅游景点,实例,item,雁荡山
type,自然景观,实例,item,雁荡山
type,地质公园,实例,item,雁荡山
type,地理,实例,item,神农架
type,旅游,实例,item,神农架
type,旅游景点,实例,item,神农架
type,湖北,实例,item,神农架
type,国家森林保护区,实例,item,神农架
type,杭州,实例,item,西湖
type,景点,实例,item,西湖
type,三级旅游景区,实例,item,西湖
type,风景区,实例,item,西湖
type,旅游景点,实例,item,西湖
type,旅游,实例,item,西湖
type,tvb,实例,item,西湖
type,节目,实例,item,西湖
type,风景,实例,item,灵山大佛
type,佛教,实例,item,灵山大佛
type,旅游,实例,item,灵山大佛
type,江苏,实例,item,灵山大佛
type,无锡,实例,item,灵山大佛
type,地理,实例,item,青海湖
type,旅游,实例,item,青海湖
type,湖泊,实例,item,青海湖
type,青海,实例,item,青海湖
type,咸水湖,实例,item,青海湖
type,佛教,实例,item,龙门石窟
type,艺术,实例,item,龙门石窟
type,旅游,实例,item,龙门石窟
type,河南,实例,item,龙门石窟
type,雕刻,实例,item,龙门石窟
type,建筑,实例,item,黄鹤楼
type,名胜古迹,实例,item,黄鹤楼
type,四大名楼,实例,item,黄鹤楼
type,旅游,实例,item,白云山
type,森林公园,实例,item,白云山
type,丽水,实例,item,白云山
type,白云山,实例,item,白云山
type,旅游胜地,实例,item,白云山
type,5A景区,实例,item,白云山
type,风景,实例,item,白云山
type,汕尾,实例,item,白云山
type,地理,实例,item,华山
type,导演,实例,item,华山
type,历史学家,实例,item,华山
type,作家,实例,item,华山
type,五岳,实例,item,华山
type,旅游胜地,实例,item,峨眉山
type,景点,实例,item,峨眉山
type,文化,实例,item,峨眉山
type,诗词,实例,item,峨眉山
type,诗人,实例,item,峨眉山
type,电影,实例,item,峨眉山
type,记录,实例,item,峨眉山
type,地理,实例,item,九寨沟
type,旅游,实例,item,九寨沟
type,四川,实例,item,九寨沟
type,自然风景,实例,item,九寨沟
type,5A景区,实例,item,九寨沟
type,名胜古迹,实例,item,都江堰
type,文化遗产,实例,item,都江堰
type,水利工程,实例,item,都江堰
type,文化旅游,实例,item,都江堰
type,全国重点文物保护单位,实例,item,都江堰
type,地理,实例,item,黄山
type,旅游,实例,item,黄山
type,景点,实例,item,黄山
type,山峰,实例,item,黄山
type,黄山,实例,item,黄山
type,cosplay,实例,item,黄山
type,地理,实例,item,千岛湖
type,旅游,实例,item,千岛湖
type,风景区,实例,item,千岛湖
type,浙江,实例,item,千岛湖
type,邮票,实例,item,千岛湖
type,风景,实例,item,崂山
type,道教,实例,item,崂山
type,山东,实例,item,崂山
type,名山,实例,item,崂山
type,青岛,实例,item,崂山
type,旅游,实例,item,武当山
type,世界文化遗产,实例,item,武当山
type,风景名胜,实例,item,武当山
type,十堰,实例,item,武当山
type,道教名山,实例,item,武当山
type,地理,实例,item,黄果树瀑布
type,旅游,实例,item,黄果树瀑布
type,风光,实例,item,黄果树瀑布
type,瀑布,实例,item,黄果树瀑布
type,自然资源,实例,item,黄果树瀑布
type,旅游,实例,item,喀纳斯湖
type,湖泊,实例,item,喀纳斯湖
type,新疆,实例,item,喀纳斯湖
type,自然景观,实例,item,喀纳斯湖
type,水域,实例,item,喀纳斯湖
type,文化,实例,item,云冈石窟
type,古迹,实例,item,云冈石窟
type,名胜,实例,item,云冈石窟
type,石窟,实例,item,云冈石窟
type,大同旅游,实例,item,云冈石窟
type,建筑,实例,item,故宫
type,世界文化遗产,实例,item,故宫
type,宫殿,实例,item,故宫
type,景点。博物馆,实例,item,故宫
type,南京,实例,item,故宫
type,遗址公园,实例,item,故宫
type,南京明故宫,实例,item,故宫
type,明故宫,实例,item,故宫
type,旅游,实例,item,故宫
type,遗址,实例,item,故宫
type,韩国,实例,item,故宫
type,纪录片,实例,item,故宫
type,历史,实例,item,大唐芙蓉园
type,陕西,实例,item,大唐芙蓉园
type,唐朝,实例,item,大唐芙蓉园
type,西安,实例,item,大唐芙蓉园
type,长安,实例,item,大唐芙蓉园
type,影视,实例,item,大唐芙蓉园
type,电视剧,实例,item,大唐芙蓉园
type,杨贵妃,实例,item,大唐芙蓉园
type,地理,实例,item,龙虎山
type,道教,实例,item,龙虎山
type,山峰,实例,item,龙虎山
type,龙虎山,实例,item,龙虎山
type,江西户外,实例,item,龙虎山
type,旅游,实例,item,恭王府
type,北京,实例,item,恭王府
type,名胜,实例,item,恭王府
type,旅游景点,实例,item,恭王府
type,恭王府,实例,item,恭王府
type,旅游,实例,item,北海公园
type,古文化,实例,item,北海公园
type,词条,实例,item,北海公园
type,遗产,实例,item,北海公园
type,摩山,实例,item,北海公园
type,风景,实例,item,天山天池
type,地理,实例,item,天山天池
type,旅游,实例,item,天山天池
type,景点,实例,item,天山天池
type,新疆,实例,item,天山天池
type,旅游,实例,item,乌镇
type,浙江,实例,item,乌镇
type,古镇,实例,item,乌镇
type,江南水乡,实例,item,乌镇
type,国家5A级旅游景区,实例,item,乌镇
type,符金梁提供！,实例,item,乌镇
type,佛教,实例,item,麦积山
type,自然景观,实例,item,麦积山
type,天水麦积山,实例,item,麦积山
type,人文景观,实例,item,麦积山
type,泥塑,实例,item,麦积山
type,旅游,实例,item,岳阳楼
type,生活,实例,item,岳阳楼
type,景点,实例,item,岳阳楼
type,名胜古迹,实例,item,岳阳楼
type,岳阳,实例,item,岳阳楼
type,地理,实例,item,华清池
type,旅游,实例,item,华清池
type,景点,实例,item,华清池
type,温泉,实例,item,华清池
type,浴池,实例,item,华清池
type,旅游景点,实例,item,承德避暑山庄
type,世界遗产,实例,item,承德避暑山庄
type,承德,实例,item,承德避暑山庄
type,历史文化遗产,实例,item,承德避暑山庄
type,全国重点文物保护单位,实例,item,承德避暑山庄
type,北京,实例,item,圆明园遗址公园
type,遗址,实例,item,圆明园遗址公园
type,公园,实例,item,圆明园遗址公园
type,全国重点文物保护单位,实例,item,圆明园遗址公园
type,宗教,实例,item,九华山
type,文化,实例,item,九华山
type,旅游,实例,item,九华山
type,山地,实例,item,九华山
type,四大佛教名山,实例,item,九华山
type,西九华山,实例,item,九华山
type,旅游胜地,实例,item,九华山
type,河南,实例,item,九华山
type,信阳,实例,item,九华山
type,北京,实例,item,颐和园
type,园林,实例,item,颐和园
type,文化遗产,实例,item,颐和园
type,皇家园林,实例,item,颐和园
type,全国重点文物保护单位,实例,item,颐和园
type,中国历史,实例,item,国子监
type,教育,实例,item,国子监
type,旅游景点,实例,item,国子监
type,机构,实例,item,国子监
type,中华文化,实例,item,国子监
type,文化,实例,item,故宫
type,历史,实例,item,故宫
type,建造,实例,item,故宫
type,旅游,实例,item,清明上河园
type,景点,实例,item,清明上河园
type,河南,实例,item,清明上河园
type,开封,实例,item,清明上河园
type,旅游,实例,item,黄帝陵
type,陕西,实例,item,黄帝陵
type,黄帝,实例,item,黄帝陵
type,延安,实例,item,黄帝陵
type,陵寝,实例,item,黄帝陵
type,文化,实例,item,明十三陵
type,旅游,实例,item,明十三陵
type,世界文化遗产,实例,item,明十三陵
type,文物古迹,实例,item,明十三陵
type,陵墓,实例,item,明十三陵
type,旅游,实例,item,丽江古城
type,云南,实例,item,丽江古城
type,世界文化遗产,实例,item,丽江古城
type,文物古迹,实例,item,丽江古城
type,明朝,实例,item,丽江古城
type,广播电视塔,实例,item,东方明珠广播电视塔
type,东方明珠,实例,item,东方明珠广播电视塔
type,新闻中心,实例,item,东方明珠广播电视塔
type,上海浦东,实例,item,东方明珠广播电视塔
type,标志建筑物,实例,item,东方明珠广播电视塔
type,旅游,实例,item,嘉峪关
type,交通,实例,item,嘉峪关
type,长城,实例,item,嘉峪关
type,嘉峪关,实例,item,嘉峪关
type,嘉峪关长城,实例,item,嘉峪关
type,中国,实例,item,嘉峪关
type,地级市,实例,item,嘉峪关
type,西北,实例,item,嘉峪关
type,甘肃省,实例,item,嘉峪关
type,灵山自然风景区,实例,item,灵山风景区
type,风景区,实例,item,灵山风景区
type,景点,实例,item,灵山风景区
type,一字岩,实例,item,灵山风景区
type,乐清市,实例,item,灵山风景区
type,浙江省,实例,item,灵山风景区
type,旅游,实例,item,皇城相府
type,历史,实例,item,皇城相府
type,山西,实例,item,皇城相府
type,地理,实例,item,金石滩
type,旅游,实例,item,金石滩
type,景点,实例,item,金石滩
type,大连,实例,item,金石滩
type,发现王国,实例,item,金石滩
type,文化,实例,item,成吉思汗陵
type,建筑,实例,item,成吉思汗陵
type,遗址,实例,item,成吉思汗陵
type,陵墓,实例,item,成吉思汗陵
type,成吉思汗,实例,item,成吉思汗陵
type,苏州,实例,item,苏州园林
type,世界文化遗产,实例,item,苏州园林
type,园林,实例,item,苏州园林
type,文章,实例,item,苏州园林
type,散文,实例,item,苏州园林
type,旅游,实例,item,天柱山
type,自然景观,实例,item,天柱山
type,名山,实例,item,天柱山
type,山峰,实例,item,天柱山
type,文化,实例,item,天柱山
type,历史,实例,item,天柱山
type,地名,实例,item,天柱山
type,风景名胜,实例,item,天柱山
type,世界文化遗产,实例,item,五台山
type,图书,实例,item,五台山
type,旅游景区,实例,item,五台山
type,避暑胜地,实例,item,五台山
type,佛教名山,实例,item,五台山
type,旅游,实例,item,五台山
type,山名,实例,item,五台山
type,静宁,实例,item,五台山
type,地理,实例,item,伪满皇宫博物院
type,旅游,实例,item,伪满皇宫博物院
type,风景区,实例,item,伪满皇宫博物院
type,景点,实例,item,伪满皇宫博物院
type,长春市,实例,item,伪满皇宫博物院
type,文化,实例,item,殷墟
type,考古,实例,item,殷墟
type,旅游,实例,item,殷墟
type,商代,实例,item,殷墟
type,世界文物遗址,实例,item,殷墟
type,地理,实例,item,崆峒山
type,旅游,实例,item,崆峒山
type,名胜,实例,item,崆峒山
type,山脉,实例,item,崆峒山
type,图书,实例,item,崆峒山
type,风景,实例,item,清源山
type,旅游,实例,item,清源山
type,福建,实例,item,清源山
type,名山,实例,item,清源山
type,泉州,实例,item,清源山
type,文学,实例,item,大观园
type,旅游,实例,item,大观园
type,建筑,实例,item,大观园
type,景点,实例,item,大观园
type,园林,实例,item,大观园
type,旅游,实例,item,太阳岛
type,岛屿,实例,item,太阳岛
type,上海,实例,item,太阳岛
type,哈尔滨,实例,item,太阳岛
type,玻利维亚,实例,item,太阳岛
type,酒店预订,实例,item,太阳岛
type,商务会议,实例,item,太阳岛
type,出差,实例,item,太阳岛
type,网络订房,实例,item,太阳岛
type,风景区,实例,item,太阳岛
type,地理,实例,item,庐山
type,江西,实例,item,庐山
type,自然风光,实例,item,庐山
type,世界遗产名录,实例,item,庐山
type,名山旅游,实例,item,庐山
type,文化,实例,item,嵩山
type,旅游,实例,item,嵩山
type,名山,实例,item,嵩山
type,地质,实例,item,嵩山
type,五岳,实例,item,嵩山
type,河北保定,实例,item,白洋淀
type,华北明珠,实例,item,白洋淀
type,抗日雁翎队,实例,item,白洋淀
type,荷花淀,实例,item,白洋淀
type,国家级湿地自然保护区,实例,item,白洋淀
type,社会,实例,item,十渡
type,旅游,实例,item,十渡
type,北京,实例,item,十渡
type,景点,实例,item,十渡
type,旅游,实例,item,红螺寺
type,北京,实例,item,红螺寺
type,风景区,实例,item,红螺寺
type,寺庙,实例,item,红螺寺
type,景点,实例,item,红螺寺
type,东北,实例,item,长白山
type,吉林,实例,item,长白山
type,长白山,实例,item,长白山
type,白山,实例,item,长白山
type,国民旅游休闲网,实例,item,长白山
type,烟草,实例,item,长白山
type,香烟,实例,item,长白山
type,延吉,实例,item,长白山
type,地理,实例,item,瘦西湖
type,旅游,实例,item,瘦西湖
type,湖泊,实例,item,瘦西湖
type,公园,实例,item,瘦西湖
type,水域,实例,item,瘦西湖
type,音乐,实例,item,野三坡
type,河北,实例,item,野三坡
type,景区,实例,item,野三坡
type,王菲,实例,item,野三坡
type,国家森林公园,实例,item,野三坡
type,地理,实例,item,神农山
type,旅游,实例,item,神农山
type,地域,实例,item,神农山
type,景观,实例,item,神农山
type,山脉,实例,item,神农山
type,地理,实例,item,泰山
type,文化,实例,item,泰山
type,山东,实例,item,泰山
type,名胜,实例,item,泰山
type,山峰,实例,item,泰山
type,词语,实例,item,泰山
type,汉语,实例,item,泰山
type,美国,实例,item,泰山
type,小说人物,实例,item,泰山
type,虚拟人物,实例,item,泰山
type,动画片,实例,item,泰山
type,大熊猫,实例,item,泰山
type,旅游,实例,item,大雁塔
type,文物古迹,实例,item,大雁塔
type,西安,实例,item,大雁塔
type,全国重点文物保护单位,实例,item,大雁塔
type,标志性建筑,实例,item,大雁塔
type,旅游,实例,item,武夷山
type,福建,实例,item,武夷山
type,名山,实例,item,武夷山
type,世界自然文化遗产,实例,item,武夷山
type,中国历史,实例,item,刘公岛
type,山东,实例,item,刘公岛
type,旅游景点,实例,item,刘公岛
type,威海,实例,item,刘公岛
type,刘公岛,实例,item,刘公岛
type,革命圣地,实例,item,西柏坡
type,中国革命史,实例,item,西柏坡
type,红色旅游,实例,item,西柏坡
type,爱国主义教育示范基地,实例,item,西柏坡
type,河北省平山县,实例,item,西柏坡
type,地理,实例,item,上海科技馆
type,旅游,实例,item,上海科技馆
type,科技,实例,item,上海科技馆
type,上海,实例,item,上海科技馆
type,博物馆,实例,item,上海科技馆
type,风景,实例,item,云台山
type,旅游,实例,item,云台山
type,名胜,实例,item,云台山
type,风景名胜,实例,item,云台山
type,世界地质公园,实例,item,云台山
type,风景区,实例,item,云台山
type,旅游景点,实例,item,云台山
type,国家级风景名胜区,实例,item,云台山
type,贵州,实例,item,云台山
type,世界自然遗产,实例,item,云台山
type,黔东南,实例,item,云台山
type,中国南方喀斯特,实例,item,云台山
type,南溪风景,实例,item,云台山
type,地理,实例,item,青龙峡
type,旅游,实例,item,青龙峡
type,北京,实例,item,青龙峡
type,云南,实例,item,青龙峡
type,怀柔,实例,item,青龙峡
type,焦作青龙峡,实例,item,青龙峡
type,北京,实例,item,什刹海
type,旅游景点,实例,item,什刹海
type,历史文化,实例,item,什刹海
type,老北京,实例,item,什刹海
type,音乐专辑,实例,item,什刹海
type,功夫剧,实例,item,什刹海
type,文化,实例,item,崇圣寺三塔
type,旅游,实例,item,崇圣寺三塔
type,云南,实例,item,崇圣寺三塔
type,全国重点文物保护单位,实例,item,崇圣寺三塔
type,景点区,实例,item,崇圣寺三塔
type,旅游,实例,item,蓬莱阁
type,景观,实例,item,蓬莱阁
type,建筑群,实例,item,蓬莱阁
type,蓬莱,实例,item,蓬莱阁
type,阁楼,实例,item,蓬莱阁
type,文化,实例,item,三清山
type,旅游,实例,item,三清山
type,山峰,实例,item,三清山
type,世界文化遗产,实例,item,三清山
type,上饶,实例,item,三清山
type,佛教,实例,item,普陀山
type,旅游,实例,item,普陀山
type,浙江,实例,item,普陀山
type,普陀山,实例,item,普陀山
type,国家5A级旅游风景区,实例,item,普陀山
type,地理,实例,item,雁栖湖
type,北京名胜,实例,item,雁栖湖
type,旅游,实例,item,戒台寺
type,北京,实例,item,戒台寺
type,文物,实例,item,戒台寺
type,寺院,实例,item,戒台寺
type,景区,实例,item,戒台寺
type,佛教,实例,item,八大处公园
type,旅游,实例,item,八大处公园
type,北京,实例,item,八大处公园
type,公园,实例,item,八大处公园
type,全国重点文物保护单位,实例,item,八大处公园
type,旅游,实例,item,司马台长城
type,北京,实例,item,司马台长城
type,历史遗迹,实例,item,司马台长城
type,风景名胜区,实例,item,司马台长城
type,长城,实例,item,司马台长城
type,旅游,实例,item,北京动物园
type,北京,实例,item,北京动物园
type,公园,实例,item,北京动物园
type,动物园,实例,item,北京动物园
type,北京动物园,实例,item,北京动物园
type,地理,实例,item,井冈山
type,诗词,实例,item,井冈山
type,电视剧,实例,item,井冈山
type,革命圣地,实例,item,井冈山
type,国民旅游休闲网,实例,item,井冈山
type,文化,实例,item,大觉寺
type,旅游,实例,item,大觉寺
type,北京,实例,item,大觉寺
type,寺院,实例,item,大觉寺
type,风景名胜区,实例,item,大觉寺
type,旅游,实例,item,北京植物园
type,景点,实例,item,北京植物园
type,风景名胜区,实例,item,北京植物园
type,植物园,实例,item,北京植物园
type,国民旅游休闲网,实例,item,北京植物园
type,旅游,实例,item,龙庆峡
type,北京,实例,item,龙庆峡
type,自然景观,实例,item,龙庆峡
type,风景名胜区,实例,item,龙庆峡
type,延庆景区,实例,item,龙庆峡
type,四川,实例,item,青城山
type,世界文化遗产,实例,item,青城山
type,成都,实例,item,青城山
type,名山,实例,item,青城山
type,风景名胜区,实例,item,青城山
type,旅游,实例,item,青城山
type,风景区,实例,item,青城山
type,四川省,实例,item,青城山
type,地理,实例,item,五大连池
type,旅游,实例,item,五大连池
type,湖泊,实例,item,五大连池
type,城市,实例,item,五大连池
type,满语,实例,item,五大连池
type,图片,实例,item,五大连池
type,五大连池,实例,item,五大连池
type,福建,实例,item,鼓浪屿
type,旅游景点,实例,item,鼓浪屿
type,厦门,实例,item,鼓浪屿
type,文化遗产,实例,item,鼓浪屿
type,5A景区,实例,item,鼓浪屿
type,旅游,实例,item,三峡大坝
type,湖北,实例,item,三峡大坝
type,宜昌,实例,item,三峡大坝
type,水利,实例,item,三峡大坝
type,电力工程,实例,item,三峡大坝
type,旅游,实例,item,天坛公园
type,公园,实例,item,天坛公园
type,名胜古迹,实例,item,天坛公园
type,文化遗产,实例,item,天坛公园
type,宏源阁博物馆,实例,item,天坛公园
type,文化,实例,item,宋庆龄故居
type,旅游,实例,item,宋庆龄故居
type,古迹,实例,item,宋庆龄故居
type,历史,实例,item,宋庆龄故居
type,旅游,实例,item,八达岭长城
type,古建筑,实例,item,八达岭长城
type,文化遗产,实例,item,八达岭长城
type,长城,实例,item,八达岭长城
type,全国重点文物保护单位,实例,item,八达岭长城
type,旅游,实例,item,桂林乐满地主题乐园
type,桂林,实例,item,桂林乐满地主题乐园
type,广西,实例,item,桂林乐满地主题乐园
type,5A景区,实例,item,桂林乐满地主题乐园
type,兴安,实例,item,桂林乐满地主题乐园
type,旅游,实例,item,潭柘寺
type,建筑,实例,item,潭柘寺
type,遗址,实例,item,潭柘寺
type,寺院,实例,item,潭柘寺
type,庙宇,实例,item,潭柘寺
type,旅游,实例,item,横店影视城
type,浙江,实例,item,横店影视城
type,景点,实例,item,横店影视城
type,风景名胜,实例,item,横店影视城
type,影视基地,实例,item,横店影视城
type,旅游,实例,item,葡萄沟
type,新疆,实例,item,葡萄沟
type,葡萄,实例,item,葡萄沟
type,吐鲁番,实例,item,葡萄沟
type,国家5A级旅游景区,实例,item,葡萄沟
type,地理,实例,item,镜泊湖
type,旅游,实例,item,镜泊湖
type,自然,实例,item,镜泊湖
type,地理,实例,item,中山公园
type,人文,实例,item,中山公园
type,旅游,实例,item,中山公园
type,公园,实例,item,中山公园
type,景点,实例,item,中山公园
type,中山公园,实例,item,中山公园
type,济南公园,实例,item,中山公园
type,绿化,实例,item,中山公园
type,北海市,实例,item,中山公园
type,旅游,实例,item,净月潭
type,吉林,实例,item,净月潭
type,长春,实例,item,净月潭
type,地理,实例,item,盘山风景区
type,旅游,实例,item,盘山风景区
type,天津,实例,item,盘山风景区
type,景点,实例,item,盘山风景区
type,地质公园,实例,item,盘山风景区
type,旅游,实例,item,云居寺
type,北京,实例,item,云居寺
type,景点,实例,item,云居寺
type,世界文化遗产,实例,item,云居寺
type,寺院,实例,item,云居寺
type,地理,实例,item,响沙湾
type,旅游,实例,item,响沙湾
type,景观,实例,item,响沙湾
type,沙漠,实例,item,响沙湾
type,沙丘,实例,item,响沙湾
type,地理,实例,item,岳麓山
type,旅游,实例,item,岳麓山
type,地域,实例,item,岳麓山
type,景观,实例,item,岳麓山
type,山峰,实例,item,岳麓山
type,旅游,实例,item,世界公园
type,名胜,实例,item,世界公园
type,景观,实例,item,世界公园
type,图书,实例,item,世界公园
type,世界文化,实例,item,世界公园
type,北京,实例,item,居庸关长城
type,景点,实例,item,居庸关长城
type,名胜古迹,实例,item,居庸关长城
type,长城,实例,item,居庸关长城
type,昌平,实例,item,居庸关长城
type,旅游,实例,item,景山公园
type,北京,实例,item,景山公园
type,古迹,实例,item,景山公园
type,名胜,实例,item,景山公园
type,景点,实例,item,景山公园
type,旅游,实例,item,京东大峡谷
type,北京,实例,item,京东大峡谷
type,名胜,实例,item,京东大峡谷
type,峡谷,实例,item,京东大峡谷
type,郊区,实例,item,京东大峡谷
type,中国城市,实例,item,奉化
type,宁波,实例,item,奉化
type,蒋介石,实例,item,奉化
type,浙江城市,实例,item,奉化
type,浙江县区,实例,item,奉化
type,艺术,实例,item,故宫博物院
type,文物,实例,item,故宫博物院
type,博物馆,实例,item,故宫博物院
type,历史文化,实例,item,故宫博物院
type,建筑,实例,item,故宫博物院
type,历史,实例,item,故宫博物院
