标签,名称,关系,标签A,名称A
type,故宫,实例,item,故宫博物院
type,文化遗产,实例,item,故宫博物院
type,地理,实例,item,沙湖
type,旅游,实例,item,沙湖
type,湖泊,实例,item,沙湖
type,沙漠,实例,item,沙湖
type,景区,实例,item,沙湖
type,宁夏,实例,item,沙坡头
type,生态,实例,item,沙坡头
type,旅行,实例,item,沙坡头
type,沙漠,实例,item,沙坡头
type,中卫,实例,item,沙坡头
type,人文,实例,item,夫子庙
type,旅游,实例,item,夫子庙
type,历史,实例,item,夫子庙
type,名胜古迹,实例,item,夫子庙
type,南京,实例,item,夫子庙
type,旅游,实例,item,老舍茶馆
type,北京,实例,item,老舍茶馆
type,人物,实例,item,老舍茶馆
type,老舍,实例,item,老舍茶馆
type,茶馆,实例,item,老舍茶馆
type,北京,实例,item,九龙游乐园
type,旅游胜地,实例,item,九龙游乐园
type,昌平,实例,item,九龙游乐园
type,游乐园,实例,item,九龙游乐园
type,十三陵,实例,item,九龙游乐园
type,旅游,实例,item,中华民族园
type,北京,实例,item,中华民族园
type,公园,实例,item,中华民族园
type,景点,实例,item,中华民族园
type,博物馆,实例,item,中华民族园
type,地理,实例,item,小三峡
type,旅游,实例,item,小三峡
type,名胜,实例,item,小三峡
type,重庆,实例,item,小三峡
type,国家5A级旅游景区,实例,item,小三峡
type,文化,实例,item,紫竹院公园
type,旅游,实例,item,紫竹院公园
type,北京,实例,item,紫竹院公园
type,公园,实例,item,紫竹院公园
type,景点,实例,item,紫竹院公园
type,地理,实例,item,龙宫风景区
type,旅游,实例,item,龙宫风景区
type,风景区,实例,item,龙宫风景区
type,贵州,实例,item,龙宫风景区
type,旅游,实例,item,龙潭公园
type,山东,实例,item,龙潭公园
type,柳州,实例,item,龙潭公园
type,广西,实例,item,龙潭公园
type,临沂,实例,item,龙潭公园
type,地理,实例,item,青天河
type,旅游,实例,item,青天河
type,地域,实例,item,青天河
type,风景区,实例,item,青天河
type,景观,实例,item,青天河
type,地理,实例,item,鸡冠洞
type,旅游,实例,item,鸡冠洞
type,景观,实例,item,鸡冠洞
type,溶洞,实例,item,鸡冠洞
type,洞穴,实例,item,鸡冠洞
type,文化,实例,item,神堂峪自然风景区
type,旅游,实例,item,神堂峪自然风景区
type,风景区,实例,item,神堂峪自然风景区
type,景点,实例,item,神堂峪自然风景区
type,自然风景区,实例,item,神堂峪自然风景区
type,中国,实例,item,黄龙风景名胜区
type,地理,实例,item,黄龙风景名胜区
type,四川,实例,item,黄龙风景名胜区
type,世界遗产,实例,item,黄龙风景名胜区
type,风景名胜,实例,item,黄龙风景名胜区
type,旅游,实例,item,天堂寨
type,安徽,实例,item,天堂寨
type,湖北,实例,item,天堂寨
type,金寨,实例,item,天堂寨
type,罗田,实例,item,天堂寨
type,文化,实例,item,白云山风景区
type,旅游,实例,item,白云山风景区
type,文化,实例,item,桂林漓江风景区
type,旅游,实例,item,桂林漓江风景区
type,休闲,实例,item,桂林漓江风景区
type,桂林,实例,item,桂林漓江风景区
type,广西,实例,item,桂林漓江风景区
type,地理,实例,item,双龙峡风景区
type,文化,实例,item,双龙峡风景区
type,旅游,实例,item,双龙峡风景区
type,景点,实例,item,双龙峡风景区
type,地理,实例,item,珍珠湖风景区
type,文化,实例,item,珍珠湖风景区
type,旅游,实例,item,珍珠湖风景区
type,景点,实例,item,珍珠湖风景区
type,自然风景,实例,item,珍珠湖风景区
type,旅游,实例,item,云蒙山国家森林公园
type,北京,实例,item,云蒙山国家森林公园
type,景点,实例,item,云蒙山国家森林公园
type,森林公园,实例,item,云蒙山国家森林公园
type,环境,实例,item,云蒙山国家森林公园
type,地理,实例,item,金海湖风景区
type,文化,实例,item,金海湖风景区
type,旅游,实例,item,金海湖风景区
type,景点,实例,item,金海湖风景区
type,地理,实例,item,老君山
type,旅游,实例,item,老君山
type,地域,实例,item,老君山
type,景观,实例,item,老君山
type,山峰,实例,item,老君山
type,景点,实例,item,老君山
type,老君山,实例,item,老君山
type,云南老君山,实例,item,老君山
type,四川,实例,item,老君山
type,绵阳,实例,item,老君山
type,江油,实例,item,老君山
type,休闲,实例,item,沈阳植物园
type,公园,实例,item,沈阳植物园
type,人文景观,实例,item,沈阳植物园
type,国家5A级旅游景区,实例,item,沈阳植物园
type,风景区,实例,item,濠河
type,旅游胜地,实例,item,濠河
type,南通,实例,item,濠河
type,自然风景区,实例,item,濠河
type,护城河,实例,item,濠河
type,旅游,实例,item,黑山谷景区
type,风景区,实例,item,黑山谷景区
type,重庆,实例,item,黑山谷景区
type,旅游,实例,item,北京海洋馆
type,北京,实例,item,北京海洋馆
type,海洋馆,实例,item,北京海洋馆
type,水族馆,实例,item,北京海洋馆
type,北京动物园,实例,item,北京海洋馆
type,旅游,实例,item,慕田峪
type,北京,实例,item,慕田峪
type,地名,实例,item,慕田峪
type,长城,实例,item,慕田峪
type,慕田峪,实例,item,慕田峪
type,旅游,实例,item,蟒山国家森林公园
type,北京,实例,item,蟒山国家森林公园
type,景点,实例,item,蟒山国家森林公园
type,森林公园,实例,item,蟒山国家森林公园
type,环境,实例,item,蟒山国家森林公园
type,旅游,实例,item,圣莲山
type,圣米石塘,实例,item,圣莲山
type,莲花山,实例,item,圣莲山
type,京西小五岳,实例,item,圣莲山
type,旅游,实例,item,秦始皇兵马俑博物馆
type,历史,实例,item,秦始皇兵马俑博物馆
type,陕西,实例,item,秦始皇兵马俑博物馆
type,博物馆,实例,item,秦始皇兵马俑博物馆
type,兵马俑,实例,item,秦始皇兵马俑博物馆
type,旅游,实例,item,溱湖
type,喜鹊湖,实例,item,溱湖
type,溱湖国家湿地公园,实例,item,溱湖
type,旅游,实例,item,玉渊潭公园
type,北京,实例,item,玉渊潭公园
type,风景区,实例,item,玉渊潭公园
type,公园,实例,item,玉渊潭公园
type,国民旅游休闲网,实例,item,玉渊潭公园
type,旅游,实例,item,香山公园
type,北京,实例,item,香山公园
type,公园,实例,item,香山公园
type,景点,实例,item,香山公园
type,香山,实例,item,香山公园
type,文化,实例,item,中国印刷博物馆
type,建筑,实例,item,中国印刷博物馆
type,博物馆,实例,item,中国印刷博物馆
type,印刷术,实例,item,中国印刷博物馆
type,遗址,实例,item,周口店遗址博物馆
type,历史,实例,item,周口店遗址博物馆
type,博物馆,实例,item,周口店遗址博物馆
type,社会,实例,item,北京天文馆
type,文化,实例,item,北京天文馆
type,天文,实例,item,北京天文馆
type,建筑,实例,item,北京天文馆
type,博物馆,实例,item,北京天文馆
type,旅游,实例,item,中国航空博物馆
type,北京,实例,item,中国航空博物馆
type,建筑,实例,item,中国航空博物馆
type,航空,实例,item,中国航空博物馆
type,博物馆,实例,item,中国航空博物馆
type,旅游,实例,item,妙峰山
type,北京,实例,item,妙峰山
type,名山,实例,item,妙峰山
type,风景名胜,实例,item,妙峰山
type,旅游景点,实例,item,银狐洞
type,旅游,实例,item,百望山森林公园
type,北京,实例,item,百望山森林公园
type,景点,实例,item,百望山森林公园
type,森林公园,实例,item,百望山森林公园
type,太行前哨第一峰,实例,item,百望山森林公园
type,汉语词语,实例,item,南山
type,风景,实例,item,南山
type,文化,实例,item,南山
type,文学,实例,item,南山
type,唐诗,实例,item,南山
type,王维,实例,item,南山
type,公园,实例,item,南山
type,寺庙,实例,item,南山
type,旅游景点,实例,item,南山
type,山,实例,item,南山
type,西宁市,实例,item,南山
type,旅游,实例,item,南山
type,风景区,实例,item,南山
type,地名,实例,item,南山
type,地理,实例,item,南山
type,山峰,实例,item,南山
type,山名,实例,item,南山
type,福建,实例,item,南山
type,南平,实例,item,南山
type,乡镇,实例,item,南山
type,龙岩,实例,item,南山
type,神断狄仁杰,实例,item,南山
type,广西,实例,item,南山
type,山川,实例,item,南山
type,横县,实例,item,南山
type,风景,实例,item,仙栖洞
type,旅游,实例,item,仙栖洞
type,景点,实例,item,仙栖洞
type,房山,实例,item,仙栖洞
type,北京的人间仙境,实例,item,仙栖洞
type,文化,实例,item,中国科学技术馆
type,旅游,实例,item,中国科学技术馆
type,北京,实例,item,中国科学技术馆
type,科技,实例,item,中国科学技术馆
type,科教,实例,item,中国科学技术馆
type,地理,实例,item,京东大溶洞
type,旅游,实例,item,京东大溶洞
type,名胜,实例,item,京东大溶洞
type,景点,实例,item,京东大溶洞
type,奇观,实例,item,京东大溶洞
type,中华民族,实例,item,中国人民抗日战争纪念馆
type,抗日战争,实例,item,中国人民抗日战争纪念馆
type,爱国主义教育基地,实例,item,中国人民抗日战争纪念馆
type,七七事变,实例,item,中国人民抗日战争纪念馆
type,中国军队,实例,item,中国人民抗日战争纪念馆
type,植物,实例,item,北京世界花卉大观园
type,花卉,实例,item,北京世界花卉大观园
type,园林,实例,item,北京世界花卉大观园
type,北京旅游,实例,item,北京世界花卉大观园
type,北京旅游,实例,item,北宫国家森林公园
type,国家森林公园,实例,item,北宫国家森林公园
type,旅游,实例,item,八达岭国家森林公园
type,北京,实例,item,八达岭国家森林公园
type,景点,实例,item,八达岭国家森林公园
type,旅游,实例,item,温都水城
type,休闲,实例,item,温都水城
type,温泉,实例,item,温都水城
type,SPA,实例,item,温都水城
type,水城,实例,item,温都水城
type,纪念馆,实例,item,焦庄户地道战遗址纪念馆
type,焦庄户地道战遗址纪念馆,实例,item,焦庄户地道战遗址纪念馆
type,焦庄户地道,实例,item,焦庄户地道战遗址纪念馆
type,中国,实例,item,南湖
type,湖泊,实例,item,南湖
type,长春,实例,item,南湖
type,嘉兴,实例,item,南湖
type,南湖,实例,item,南湖
type,历史,实例,item,南湖
type,旅游景点,实例,item,南湖
type,地理,实例,item,南湖
type,旅游,实例,item,南湖
type,河南,实例,item,南湖
type,水域,实例,item,南湖
type,文学,实例,item,南湖
type,唐诗,实例,item,南湖
type,七言律诗,实例,item,南湖
type,温庭筠,实例,item,南湖
type,诗词曲赋,实例,item,南湖
type,旅游,实例,item,慕田峪长城
type,北京,实例,item,慕田峪长城
type,建筑,实例,item,慕田峪长城
type,景点,实例,item,慕田峪长城
type,长城,实例,item,慕田峪长城
type,旅游,实例,item,金鸡湖
type,苏州,实例,item,金鸡湖
type,金鸡湖,实例,item,金鸡湖
type,工业园区,实例,item,金鸡湖
type,景点,实例,item,清远连州地下河
type,广东,实例,item,清远连州地下河
type,风景名胜,实例,item,清远连州地下河
type,地理,实例,item,康西草原
type,旅游,实例,item,康西草原
type,生活,实例,item,康西草原
type,景观,实例,item,康西草原
type,简介,实例,item,康西草原
type,旅游,实例,item,雁南飞茶田度假村
type,度假,实例,item,雁南飞茶田度假村
type,梅州,实例,item,雁南飞茶田度假村
type,地理,实例,item,可可托海国家地质公园
type,新疆,实例,item,可可托海国家地质公园
type,地震,实例,item,可可托海国家地质公园
type,地质,实例,item,可可托海国家地质公园
type,娱乐,实例,item,陶然亭公园
type,旅游,实例,item,陶然亭公园
type,休闲,实例,item,陶然亭公园
type,北京,实例,item,陶然亭公园
type,公园,实例,item,陶然亭公园
type,地理,实例,item,莲花池公园
type,北京,实例,item,莲花池公园
type,风景区,实例,item,莲花池公园
type,公园,实例,item,莲花池公园
type,景点,实例,item,莲花池公园
type,旅游,实例,item,御林古桑园
type,景点,实例,item,御林古桑园
type,民俗旅游,实例,item,御林古桑园
type,旅游,实例,item,南山文化旅游区
type,风景区,实例,item,南山文化旅游区
type,海南,实例,item,南山文化旅游区
type,三亚,实例,item,南山文化旅游区
type,国家5A级旅游景区,实例,item,南山文化旅游区
type,北京,实例,item,历代帝王庙
type,古迹,实例,item,历代帝王庙
type,文物,实例,item,历代帝王庙
type,旅游,实例,item,常州恐龙园
type,恐龙,实例,item,常州恐龙园
type,常州,实例,item,常州恐龙园
type,恐龙园,实例,item,常州恐龙园
type,环球恐龙城,实例,item,常州恐龙园
type,风景,实例,item,幽谷神潭自然风景区
type,地理,实例,item,幽谷神潭自然风景区
type,旅游,实例,item,幽谷神潭自然风景区
type,北京,实例,item,幽谷神潭自然风景区
type,影视,实例,item,西部影视城
type,旅游,实例,item,西部影视城
type,建筑,实例,item,西部影视城
type,宁夏,实例,item,西部影视城
type,古城,实例,item,西部影视城
type,文化,实例,item,中国紫檀博物馆
type,旅游,实例,item,中国紫檀博物馆
type,科普,实例,item,中国紫檀博物馆
type,博物院,实例,item,中国紫檀博物馆
type,地理,实例,item,鸳鸯溪
type,旅游,实例,item,鸳鸯溪
type,城市,实例,item,鸳鸯溪
type,景点,实例,item,鸳鸯溪
type,福建,实例,item,鸳鸯溪
type,旅游,实例,item,张家界国家森林公园
type,景点,实例,item,张家界国家森林公园
type,张家界,实例,item,张家界国家森林公园
type,国家森林公园,实例,item,张家界国家森林公园
type,旅游,实例,item,龙脉温泉度假村
type,温泉,实例,item,龙脉温泉度假村
type,地理,实例,item,云岫谷游猎自然风景区
type,旅游,实例,item,云岫谷游猎自然风景区
type,自然,实例,item,云岫谷游猎自然风景区
type,景点,实例,item,云岫谷游猎自然风景区
type,密云,实例,item,云岫谷游猎自然风景区
type,地理,实例,item,丹霞山国家级自然保护区
type,旅游,实例,item,丹霞山国家级自然保护区
type,自然,实例,item,丹霞山国家级自然保护区
type,自然保护区,实例,item,丹霞山国家级自然保护区
type,环境,实例,item,丹霞山国家级自然保护区
type,旅游,实例,item,北京欢乐谷
type,观光,实例,item,北京欢乐谷
type,旅游,实例,item,石景山游乐园
type,休闲,实例,item,石景山游乐园
type,游乐园,实例,item,石景山游乐园
type,AAAA级景区,实例,item,石景山游乐园
type,旅游,实例,item,上海野生动物园
type,景点,实例,item,上海野生动物园
type,上海,实例,item,上海野生动物园
type,野生动物园,实例,item,上海野生动物园
type,企业单位,实例,item,上海野生动物园
type,古迹,实例,item,西递宏村
type,安徽,实例,item,西递宏村
type,西递,实例,item,西递宏村
type,宏村,实例,item,西递宏村
type,清代,实例,item,南新仓
type,北京,实例,item,南新仓
type,建筑,实例,item,南新仓
type,古建筑,实例,item,南新仓
type,仓库,实例,item,南新仓
type,植物,实例,item,中国科学院西双版纳热带植物园
type,旅游景点,实例,item,中国科学院西双版纳热带植物园
type,西双版纳,实例,item,中国科学院西双版纳热带植物园
type,研究机构,实例,item,中国科学院西双版纳热带植物园
type,植物园,实例,item,中国科学院西双版纳热带植物园
type,军事,实例,item,中国民兵武器装备陈列馆
type,旅游,实例,item,中国民兵武器装备陈列馆
type,北京,实例,item,中国民兵武器装备陈列馆
type,枪械,实例,item,中国民兵武器装备陈列馆
type,文化,实例,item,青龙湖公园
type,旅游,实例,item,青龙湖公园
type,北京,实例,item,青龙湖公园
type,公园,实例,item,青龙湖公园
type,景点,实例,item,青龙湖公园
type,风景区,实例,item,太湖鼋头渚风景区
type,无锡,实例,item,太湖鼋头渚风景区
type,景点,实例,item,太湖鼋头渚风景区
type,名胜古迹,实例,item,太湖鼋头渚风景区
type,北京,实例,item,朝阳公园
type,风景区,实例,item,朝阳公园
type,公园,实例,item,朝阳公园
type,景点,实例,item,朝阳公园
type,朝阳,实例,item,朝阳公园
type,旅游,实例,item,白草畔
type,度假,实例,item,白草畔
type,白草畔,实例,item,白草畔
type,交通,实例,item,红领巾公园
type,北京,实例,item,红领巾公园
type,景点,实例,item,红领巾公园
type,少先队,实例,item,红领巾公园
type,游乐,实例,item,红领巾公园
type,旅游,实例,item,大小洞天风景区
type,景点,实例,item,大小洞天风景区
type,海南,实例,item,大小洞天风景区
type,三亚,实例,item,大小洞天风景区
type,国家地理,实例,item,大小洞天风景区
type,旅游,实例,item,京都第一瀑
type,北京,实例,item,京都第一瀑
type,景点,实例,item,京都第一瀑
type,密云,实例,item,京都第一瀑
type,中国,实例,item,清凉谷旅游风景区
type,旅游,实例,item,清凉谷旅游风景区
type,北京,实例,item,清凉谷旅游风景区
type,风景区,实例,item,清凉谷旅游风景区
type,景点,实例,item,清凉谷旅游风景区
type,风景,实例,item,桃源仙谷自然风景区
type,台湾,实例,item,桃源仙谷自然风景区
type,旅游,实例,item,桃源仙谷自然风景区
type,旅游,实例,item,京东石林峡风景区
type,平谷,实例,item,京东石林峡风景区
type,地理,实例,item,上方山国家森林公园
type,旅游,实例,item,上方山国家森林公园
type,风景区,实例,item,上方山国家森林公园
type,公园,实例,item,上方山国家森林公园
type,景点,实例,item,上方山国家森林公园
type,医学,实例,item,泰宁
type,药品,实例,item,泰宁
type,地名,实例,item,泰宁
type,世界地质公园,实例,item,泰宁
type,旅游指导,实例,item,泰宁
type,旅游,实例,item,麋鹿苑
type,北京,实例,item,麋鹿苑
type,公园,实例,item,麋鹿苑
type,景点,实例,item,麋鹿苑
type,自然风光,实例,item,那拉提
type,钢铁,实例,item,北京首云铁矿
type,冶金,实例,item,北京首云铁矿
type,矿山,实例,item,北京首云铁矿
type,企业介绍,实例,item,北京首云铁矿
type,球团矿,实例,item,北京首云铁矿
type,北京名胜,实例,item,北京黄花城水长城旅游区
type,风景,实例,item,乐山大佛景区
type,旅游,实例,item,乐山大佛景区
type,自然遗产,实例,item,乐山大佛景区
type,乐山,实例,item,乐山大佛景区
type,乐山大佛,实例,item,乐山大佛景区
type,地理,实例,item,齐天乐园
type,旅游,实例,item,齐天乐园
type,北京,实例,item,齐天乐园
type,景点,实例,item,齐天乐园
type,乐园,实例,item,齐天乐园
type,旅游,实例,item,老虎滩海洋公园
type,老虎滩,实例,item,老虎滩海洋公园
type,旅游,实例,item,小龙门森林公园
type,北京,实例,item,小龙门森林公园
type,风景区,实例,item,小龙门森林公园
type,公园,实例,item,小龙门森林公园
type,景点,实例,item,小龙门森林公园
type,中国,实例,item,湖洞水风景区
type,旅游,实例,item,湖洞水风景区
type,北京,实例,item,湖洞水风景区
type,风景区,实例,item,湖洞水风景区
type,景点,实例,item,湖洞水风景区
type,文化,实例,item,前门大街
type,旅游,实例,item,前门大街
type,北京,实例,item,前门大街
type,街道,实例,item,前门大街
type,文化,实例,item,君山岛
type,旅游,实例,item,君山岛
type,景点,实例,item,君山岛
type,岳阳,实例,item,君山岛
type,君山,实例,item,君山岛
type,旅游,实例,item,神龙溪
type,风景区,实例,item,神龙溪
type,神龙溪,实例,item,神龙溪
type,电影,实例,item,大观楼影城
type,北京,实例,item,大观楼影城
type,老字号,实例,item,大观楼影城
type,北京,实例,item,太平洋海底世界博览馆
type,博物馆,实例,item,太平洋海底世界博览馆
type,文化,实例,item,中国人民抗日战争纪念雕塑园
type,旅游,实例,item,中国人民抗日战争纪念雕塑园
type,北京,实例,item,中国人民抗日战争纪念雕塑园
type,景点,实例,item,中国人民抗日战争纪念雕塑园
type,北京,实例,item,北京野生动物园
type,景点,实例,item,北京野生动物园
type,野生动物园,实例,item,北京野生动物园
type,中国,实例,item,万芳亭公园
type,旅游,实例,item,万芳亭公园
type,风景区,实例,item,万芳亭公园
type,景点,实例,item,万芳亭公园
type,万芳亭公园,实例,item,万芳亭公园
type,旅游,实例,item,古崖原始部落旅游度假区
type,人文景观,实例,item,古崖原始部落旅游度假区
type,原始部落,实例,item,古崖原始部落旅游度假区
type,旅游度假区,实例,item,古崖原始部落旅游度假区
type,崖居遗址,实例,item,古崖原始部落旅游度假区
type,中国,实例,item,南宫旅游景区
type,旅游,实例,item,南宫旅游景区
type,风景区,实例,item,南宫旅游景区
type,景点,实例,item,南宫旅游景区
type,南宫旅游景区,实例,item,南宫旅游景区
type,中国,实例,item,百泉山旅游区
type,旅游,实例,item,百泉山旅游区
type,风景区,实例,item,百泉山旅游区
type,景点,实例,item,百泉山旅游区
type,百泉山旅游区,实例,item,百泉山旅游区
type,娱乐,实例,item,北京顺鑫绿色度假村
type,休闲,实例,item,北京顺鑫绿色度假村
type,自然,实例,item,北京顺鑫绿色度假村
type,北京,实例,item,北京顺鑫绿色度假村
type,顺义,实例,item,北京顺鑫绿色度假村
type,高尔夫,实例,item,观澜湖
type,区域,实例,item,观澜湖
type,地方,实例,item,观澜湖
type,名胜,实例,item,观澜湖
type,地理位置,实例,item,观澜湖
type,艺术,实例,item,北京故宫博物院
type,文物,实例,item,北京故宫博物院
type,博物馆,实例,item,北京故宫博物院
type,历史文化,实例,item,北京故宫博物院
type,文化,实例,item,福建土楼
type,旅游,实例,item,福建土楼
type,建筑,实例,item,福建土楼
type,福建,实例,item,福建土楼
type,世界文化遗产,实例,item,福建土楼
type,旅游,实例,item,呀诺达雨林文化旅游区
type,海南,实例,item,呀诺达雨林文化旅游区
type,三亚,实例,item,呀诺达雨林文化旅游区
type,艺术馆,实例,item,韩美林艺术馆
type,重庆,实例,item,酉阳桃花源
type,景区,实例,item,酉阳桃花源
type,桃花源,实例,item,酉阳桃花源
type,酉阳,实例,item,酉阳桃花源
type,大酉洞,实例,item,酉阳桃花源
type,旅游,实例,item,京西十八潭
type,景点,实例,item,京西十八潭
type,自然景观,实例,item,京西十八潭
type,京西十八潭,实例,item,京西十八潭
type,北京,实例,item,北京蟹岛绿色生态度假村
type,度假,实例,item,北京蟹岛绿色生态度假村
type,茶园,实例,item,湖广会馆戏楼
type,戏楼,实例,item,湖广会馆戏楼
type,戏院,实例,item,湖广会馆戏楼
type,书场,实例,item,湖广会馆戏楼
type,旅游,实例,item,春晖园温泉度假村
type,酒店,实例,item,春晖园温泉度假村
type,度假村,实例,item,春晖园温泉度假村
type,国家森林公园,实例,item,鹫峰国家森林公园
type,公园,实例,item,通州运河公园
type,运河,实例,item,通州运河公园
type,通州,实例,item,通州运河公园
type,保健,实例,item,天龙源温泉度假村
type,度假,实例,item,天龙源温泉度假村
type,旅游,实例,item,中原大佛
type,景点,实例,item,中原大佛
type,河南,实例,item,中原大佛
type,温泉,实例,item,中原大佛
type,大佛,实例,item,中原大佛
type,旅游,实例,item,石花洞风景区
type,山脉,实例,item,石花洞风景区
type,香草,实例,item,北京紫海香堤香草艺术庄园
type,紫海香堤,实例,item,北京紫海香堤香草艺术庄园
type,旅游,实例,item,云峰山自然风景区
type,风景区,实例,item,云峰山自然风景区
type,山脉,实例,item,云峰山自然风景区
type,旅游景点,实例,item,深圳华侨城旅游度假区
type,度假区,实例,item,长隆旅游度假区
type,花卉,实例,item,北京国际鲜花港
type,鲜花,实例,item,北京国际鲜花港
type,景区,实例,item,湘潭韶山旅游区
type,旅游区,实例,item,湘潭韶山旅游区
type,景区,实例,item,丽江玉龙雪山景区
type,京郊旅游,实例,item,黄芩仙谷
type,北京景区,实例,item,黄芩仙谷
type,门头沟旅游,实例,item,黄芩仙谷
type,门头沟景区,实例,item,黄芩仙谷
type,爨柏景区,实例,item,黄芩仙谷
